user_id,total_points_earned,total_points_spent,current_balance,first_activity,last_activity
100274,49300,1150,48150,2026-02-25 03:52:23.000 -0500,2026-02-25 04:09:57.000 -0500
100063,6000,0,6000,2026-01-27 06:48:55.000 -0500,2026-01-27 18:14:19.000 -0500
100067,0,0,0,,
100230,60070,2900,57170,2026-01-21 20:27:19.000 -0500,2026-03-12 15:01:30.000 -0400
100227,0,0,0,,
100299,0,0,0,,
100197,0,0,0,,
100457,0,0,0,,
100110,0,0,0,,
100448,0,0,0,,
100460,0,0,0,,
100241,0,0,0,,
100097,0,0,0,,
100161,0,0,0,,
100361,31350,500,30850,2026-03-19 12:53:47.000 -0400,2026-04-20 13:01:20.000 -0400
100121,123710,2550,121160,2025-12-18 09:05:11.000 -0500,2026-04-27 21:15:37.000 -0400
100235,0,0,0,,
100430,0,0,0,,
100290,0,0,0,,
100117,2000,0,2000,2025-12-14 17:45:57.000 -0500,2025-12-14 17:45:57.000 -0500
100474,4800,250,4550,2026-04-17 15:48:58.000 -0400,2026-04-17 15:52:13.000 -0400
100476,0,0,0,,
100179,0,0,0,,
100001,6380,0,6380,2025-11-30 09:23:58.000 -0500,2026-04-24 12:06:59.000 -0400
100374,0,0,0,,
100002,0,0,0,,
100047,0,0,0,,
100019,0,0,0,,
100071,49880,0,49880,2025-12-08 15:00:53.000 -0500,2026-04-14 12:25:35.000 -0400
100442,0,0,0,,
100313,48080,0,48080,2026-02-21 23:11:33.000 -0500,2026-04-15 22:51:36.000 -0400
100204,0,0,0,,
100228,0,0,0,,
100536,0,0,0,,
100306,0,0,0,,
100254,58520,2940,55580,2026-02-19 17:37:32.000 -0500,2026-02-19 18:38:37.000 -0500
100368,0,0,0,,
100032,14900,0,14900,2026-04-28 21:32:23.000 -0400,2026-05-12 00:20:06.000 -0400
100022,10790,0,10790,2025-11-30 08:14:39.000 -0500,2025-11-30 09:06:14.000 -0500
100371,0,0,0,,
100181,2000,250,1750,2026-01-08 16:16:51.000 -0500,2026-01-08 16:17:59.000 -0500
100439,0,0,0,,
100247,0,0,0,,
100189,0,0,0,,
100104,6260,0,6260,2025-12-12 19:06:48.000 -0500,2025-12-12 21:05:08.000 -0500
100309,125,0,125,2026-02-18 10:42:32.000 -0500,2026-02-18 10:48:14.000 -0500
100182,0,0,0,,
100206,4500,0,4500,2026-02-02 10:34:46.000 -0500,2026-02-02 10:34:46.000 -0500
100195,0,0,0,,
100008,0,0,0,,
100362,0,0,0,,
100257,122130,1750,120380,2026-03-04 20:55:22.000 -0500,2026-04-24 08:56:30.000 -0400
100105,0,0,0,,
100006,13300,270,13030,2026-02-02 12:14:42.000 -0500,2026-02-02 12:20:30.000 -0500
100417,0,0,0,,
100404,55820,0,55820,2026-04-07 12:50:49.000 -0400,2026-04-07 13:55:09.000 -0400
100468,68280,3700,64580,2026-05-04 13:08:58.000 -0400,2026-05-08 12:35:23.000 -0400
100375,39000,0,39000,2026-03-25 15:22:59.000 -0400,2026-03-25 15:22:59.000 -0400
100149,250,0,250,2025-12-31 11:27:43.000 -0500,2025-12-31 11:27:43.000 -0500
100440,0,0,0,,
100426,0,0,0,,
100014,56450,1540,54910,2025-11-21 11:49:44.000 -0500,2026-05-06 11:40:37.000 -0400
100470,71910,3250,68660,2026-04-16 18:18:00.000 -0400,2026-05-12 13:58:21.000 -0400
100310,14040,750,13290,2026-02-11 16:32:55.000 -0500,2026-02-12 10:35:15.000 -0500
100068,0,0,0,,
100384,0,0,0,,
100348,0,0,0,,
100102,28780,0,28780,2026-04-13 09:43:03.000 -0400,2026-04-13 10:11:12.000 -0400
100458,0,0,0,,
100447,0,0,0,,
100482,9300,1300,8000,2026-04-24 13:17:15.000 -0400,2026-04-24 13:36:20.000 -0400
100166,0,0,0,,
100146,0,0,0,,
100234,49610,0,49610,2026-04-03 11:46:02.000 -0400,2026-04-03 12:01:22.000 -0400
100338,0,0,0,,
100196,0,0,0,,
100070,0,0,0,,
100537,48580,500,48080,2026-05-11 13:17:26.000 -0400,2026-05-11 14:26:44.000 -0400
100216,0,0,0,,
100270,0,0,0,,
100421,0,0,0,,
100530,10000,0,10000,2026-05-07 14:00:27.000 -0400,2026-05-07 14:00:27.000 -0400
100392,0,0,0,,
100436,0,0,0,,
100367,74120,3500,70620,2026-03-24 15:44:20.000 -0400,2026-05-06 18:23:17.000 -0400
100496,0,0,0,,
100099,0,0,0,,
100021,0,0,0,,
100066,0,0,0,,
100170,0,0,0,,
100079,135035,7490,127545,2025-12-10 10:03:32.000 -0500,2026-05-06 20:47:49.000 -0400
100262,0,0,0,,
100441,0,0,0,,
100211,43040,1000,42040,2026-01-19 20:06:05.000 -0500,2026-03-18 11:15:39.000 -0400
100347,0,0,0,,
100372,40000,0,40000,2026-03-24 19:52:10.000 -0400,2026-03-24 19:52:10.000 -0400
100431,0,0,0,,
100471,70380,0,70380,2026-04-19 01:57:13.000 -0400,2026-04-19 02:59:47.000 -0400
100092,12490,1270,11220,2025-12-14 13:30:47.000 -0500,2025-12-15 20:52:47.000 -0500
100192,4240,0,4240,2026-01-14 13:23:13.000 -0500,2026-01-14 13:25:28.000 -0500
100428,0,0,0,,
100373,0,0,0,,
100519,0,0,0,,
100399,0,0,0,,
100253,48490,1500,46990,2026-01-27 14:11:09.000 -0500,2026-03-29 20:02:26.000 -0400
100083,70850,1000,69850,2025-12-10 08:55:48.000 -0500,2026-04-04 20:35:57.000 -0400
100043,0,0,0,,
100155,0,0,0,,
100080,46500,0,46500,2026-04-14 20:33:25.000 -0400,2026-04-14 20:37:06.000 -0400
100024,0,0,0,,
100134,0,0,0,,
100033,0,0,0,,
100522,22885,1000,21885,2026-05-06 08:49:32.000 -0400,2026-05-08 15:58:19.000 -0400
100090,9960,0,9960,2025-12-10 09:29:28.000 -0500,2025-12-10 09:46:52.000 -0500
100210,0,0,0,,
100220,2000,0,2000,2026-01-20 14:36:59.000 -0500,2026-01-20 14:36:59.000 -0500
100088,79075,3060,76015,2025-12-10 12:24:23.000 -0500,2026-05-11 23:38:29.000 -0400
100288,0,0,0,,
100540,10000,0,10000,2026-05-12 12:23:13.000 -0400,2026-05-12 12:23:13.000 -0400
100451,0,0,0,,
100318,16075,900,15175,2026-02-20 18:27:05.000 -0500,2026-02-25 05:46:16.000 -0500
100390,42000,0,42000,2026-03-30 11:49:30.000 -0400,2026-03-30 11:49:30.000 -0400
100357,51300,0,51300,2026-03-19 04:09:16.000 -0400,2026-03-19 12:33:46.000 -0400
100128,0,0,0,,
100005,31520,1500,30020,2026-01-22 06:17:54.000 -0500,2026-05-05 18:46:38.000 -0400
100317,0,0,0,,
100074,0,0,0,,
100013,98610,3850,94760,2025-11-19 17:35:54.000 -0500,2026-05-03 20:56:42.000 -0400
100185,0,0,0,,
100425,0,0,0,,
100243,0,0,0,,
100229,65990,1520,64470,2026-01-21 14:09:42.000 -0500,2026-04-01 21:13:24.000 -0400
100350,103560,3250,100310,2026-03-15 10:55:25.000 -0400,2026-04-18 13:49:10.000 -0400
100508,34000,0,34000,2026-05-04 13:27:05.000 -0400,2026-05-04 13:27:05.000 -0400
100401,0,0,0,,
100223,0,0,0,,
100271,13300,0,13300,2026-02-11 10:47:22.000 -0500,2026-02-11 10:58:19.000 -0500
